Genre,combined score,Reading ONLY,Working Memory ONLY
Control/No Music,0.3432003432,.7619,2.2200
Control/No Music,0.284700751,.7143,2.5089
Control/No Music,0.1800705156,.7143,3.9667
Control/No Music,0.2261904762,.9048,4.0000
Western_Classical,0.2446183953,.7143,2.9200
Western_Classical,0.2218278616,.7143,3.2200
Western_Classical,0.2637370752,.9524,3.6111
Western_Classical,0.2144482,.6190,2.8867
Pop,0.3076750445,.8095,2.6311
Pop,0.2694088341,.6190,2.2978
Pop,0.3119185643,.9524,3.0533
Pop,0.2234895394,.8095,3.6222
Pop,0.35601125,1.00,2.8089
Indian_Classical,0.2707084869,.9048,3.3422
Indian_Classical,0.2838221381,.8571,3.0200
Indian_Classical,0.2624822228,.5238,1.9956
Indian_Classical,0.2974038212,.9048,3.0422
Indian_Classical,0.2367028683,.8095,3.4200
Rock,0.5137876425,.8095,1.5756
Rock,0.3306878307,.4762,1.4400
Rock,0.3314731838,.8095,2.4422
Rock,0.2332337717,.7619,3.2667
Rock,0.3299860375,.7619,2.3089
Jazz,0.5584950029,.9048,1.6200
Jazz,0.3792684291,.9524,2.5111
Jazz,0.847136678,.8095,0.9556
Jazz,0.2550974855,.4762,1.8667
